COVID19,covid19
Coronavirus,coronavirus
disease,diseas
2019,2019
COVID19,covid19
Other,other
namesCOVID,namescovid
the,the
coronavirus,coronavirus
Transmission,transmiss
and,and
lifecycle,lifecycl
of,of
SARSCoV2,sarscov2
causing,caus
COVID19,covid19
Pronunciation,pronunci
SpecialtyInfectious,specialtyinfecti
disease,diseas
SymptomsFever,symptomsfev
cough,cough
fatigue,fatigu
shortness,short
of,of
breath,breath
vomiting,vomit
loss,loss
of,of
taste,tast
or,or
smell,smell
some,some
cases,case
asymptomatic23,asymptomatic23
ComplicationsPneumonia,complicationspneumonia
viral,viral
sepsis,sepsi
acute,acut
respiratory,respiratori
distress,distress
syndrome,syndrom
kidney,kidney
failure,failur
cytokine,cytokin
release,releas
syndrome,syndrom
respiratory,respiratori
failure,failur
pulmonary,pulmonari
fibrosis,fibrosi
pediatric,pediatr
multisystem,multisystem
inflammatory,inflammatori
syndrome,syndrom
long,long
COVID,covid
Usual,usual
onset214,onset214
days,day
typically,typic
5,5
from,from
infection,infect
Duration5,duration5
days,day
to,to
chronic,chronic
CausesSevere,causessever
acute,acut
respiratory,respiratori
syndrome,syndrom
coronavirus,coronavirus
2,2
SARSCoV2,sarscov2
Diagnostic,diagnost
methodrRTPCR,methodrrtpcr
testing,test
CT,ct
scan,scan
Rapid,rapid
antigen,antigen
test,test
PreventionFace,preventionfac
coverings,cover
quarantine,quarantin
physicalsocial,physicalsoci
distancing,distanc
ventilation,ventil
hand,hand
washing4,washing4
vaccination5,vaccination5
TreatmentSymptomatic,treatmentsymptomat
and,and
supportive,support
Frequency4908022406,frequency4908022406
confirmed,confirm
cases,case
Deaths61518906,deaths61518906
Part,part
of,of
a,a
series,seri
on,on
the,the
COVID19,covid19
pandemic,pandem
COVID19,covid19
portal,portal
Coronavirus,coronavirus
disease,diseas
2019,2019
COVID19,covid19
is,is
a,a
contagious,contagi
disease,diseas
caused,caus
by,by
a,a
virus,virus
the,the
severe,sever
acute,acut
respiratory,respiratori
syndrome,syndrom
coronavirus,coronavirus
2,2
SARSCoV2,sarscov2
The,the
first,first
known,known
case,case
was,was
identified,identifi
in,in
Wuhan,wuhan
China,china
in,in
December,decemb
20197,20197
The,the
disease,diseas
has,has
since,sinc
spread,spread
worldwide,worldwid
leading,lead
to,to
an,an
ongoing,ongo
pandemic8,pandemic8
Symptoms,symptom
of,of
COVID19,covid19
are,are
variable,variabl
but,but
often,often
include,includ
fever9,fever9
cough,cough
headache10,headache10
fatigue,fatigu
breathing,breath
difficulties,difficulti
loss,loss
of,of
smell,smell
and,and
loss,loss
of,of
taste111213,taste111213
Symptoms,symptom
may,may
begin,begin
one,one
to,to
fourteen,fourteen
days,day
after,after
exposure,exposur
to,to
the,the
virus,virus
At,at
least,least
a,a
third,third
of,of
people,peopl
who,who
are,are
infected,infect
do,do
not,not
develop,develop
noticeable,notic
symptoms14,symptoms14
Of,of
those,those
people,peopl
who,who
develop,develop
symptoms,symptom
noticeable,notic
enough,enough
to,to
be,be
classed,class
as,as
patients,patient
most,most
81,81
develop,develop
mild,mild
to,to
moderate,moder
symptoms,symptom
up,up
to,to
mild,mild
pneumonia,pneumonia
while,while
14,14
develop,develop
severe,sever
symptoms,symptom
